"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible","1538","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Bay of Plenty","Total","eligible","798","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Canterbury","Total","eligible","1747","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Capital & Coast","Total","eligible","980","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Counties Manukau","Total","eligible","2254","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Hawkes Bay","Total","eligible","583","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Hutt Valley","Total","eligible","569","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Lakes","Total","eligible","448","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Midcentral","Total","eligible","590","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Nelson Marlborough","Total","eligible","428","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Northland","Total","eligible","595","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Otago","Total","eligible","559","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"South Canterbury","Total","eligible","184","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Southland","Total","eligible","420","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Tairawhiti","Total","eligible","200","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Taranaki","Total","eligible","423","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Waikato","Total","eligible","1497","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Wairarapa","Total","eligible","128","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Waitemata","Total","eligible","1884","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"West Coast","Total","eligible","96","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Whanganui","Total","eligible","221","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"National","Total","eligible","16165","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Auckland","Total","full","1230","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Bay of Plenty","Total","full","561","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Canterbury","Total","full","1479","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Capital & Coast","Total","full","862","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Counties Manukau","Total","full","1717","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Hawkes Bay","Total","full","526","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Hutt Valley","Total","full","482","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Lakes","Total","full","274","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Midcentral","Total","full","446","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Nelson Marlborough","Total","full","345","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Northland","Total","full","412","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Otago","Total","full","494","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"South Canterbury","Total","full","157","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Southland","Total","full","395","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Tairawhiti","Total","full","138","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Taranaki","Total","full","335","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Waikato","Total","full","1139","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Wairarapa","Total","full","110","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Waitemata","Total","full","1536","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"West Coast","Total","full","77","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Whanganui","Total","full","178","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"National","Total","full","12901","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Auckland","Total","proportion","0.799739921976593","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Bay of Plenty","Total","proportion","0.703007518796993","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Canterbury","Total","proportion","0.846594161419576","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Capital & Coast","Total","proportion","0.879591836734694","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Counties Manukau","Total","proportion","0.761756876663709","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Hawkes Bay","Total","proportion","0.902229845626072","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Hutt Valley","Total","proportion","0.847100175746924","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Lakes","Total","proportion","0.611607142857143","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Midcentral","Total","proportion","0.75593220338983","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Nelson Marlborough","Total","proportion","0.80607476635514","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
"Northland","Total","proportion","0.692436974789916","24 months","1 April 2009 to 1 July 2009 (Excel, 447 KB).xls","Ethnicity"
