"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible","5198","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Bay of Plenty","Total","eligible","2211","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Canterbury","Total","eligible","2402","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Capital & Coast","Total","eligible","1830","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Counties Manukau","Total","eligible","8235","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Hawkes Bay","Total","eligible","1297","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Hutt Valley","Total","eligible","998","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Lakes","Total","eligible","1123","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Midcentral","Total","eligible","1156","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Nelson Marlborough","Total","eligible","623","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Northland","Total","eligible","1882","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"South Canterbury","Total","eligible","240","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Southern","Total","eligible","1421","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Tairawhiti","Total","eligible","520","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Taranaki","Total","eligible","914","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Waikato","Total","eligible","4142","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Wairarapa","Total","eligible","269","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Waitemata","Total","eligible","7059","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"West Coast","Total","eligible","162","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Whanganui","Total","eligible","448","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"National","Total","eligible","42189","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Auckland","Total","full","3861","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Bay of Plenty","Total","full","1462","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
"Canterbury","Total","full","1823","5 Years","1 April 2010 to 1 April 2011 (Excel, 280 KB).xls","Ethnicity"
