"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible","6324","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Bay of Plenty","Total","eligible","3296","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Canterbury","Total","eligible","6683","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Capital & Coast","Total","eligible","3913","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Counties Manukau","Total","eligible","9483","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hawkes Bay","Total","eligible","2432","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hutt Valley","Total","eligible","2230","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Lakes","Total","eligible","1788","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Midcentral","Total","eligible","2387","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Nelson Marlborough","Total","eligible","1891","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Northland","Total","eligible","2494","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"South Canterbury","Total","eligible","712","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Southern","Total","eligible","3845","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Tairawhiti","Total","eligible","821","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Taranaki","Total","eligible","1680","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waikato","Total","eligible","5937","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Wairarapa","Total","eligible","594","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waitemata","Total","eligible","8295","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"West Coast","Total","eligible","454","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Whanganui","Total","eligible","909","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"National","Total","eligible","66203","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Auckland","Total","full","5131","5 Years","1 April 2012 to 31 March 2013 (Excel, 2.2 MB).xls","Ethnicity"
