"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible",6336,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Bay of Plenty","Total","eligible",3268,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Canterbury","Total","eligible",6607,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Capital & Coast","Total","eligible",3866,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Counties Manukau","Total","eligible",9212,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Hawkes Bay","Total","eligible",2543,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Hutt Valley","Total","eligible",2222,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Lakes","Total","eligible",1737,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Midcentral","Total","eligible",2270,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Nelson Marlborough","Total","eligible",1835,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Northland","Total","eligible",2525,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"South Canterbury","Total","eligible",740,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Southern","Total","eligible",4041,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Tairawhiti","Total","eligible",815,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Taranaki","Total","eligible",1709,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Waikato","Total","eligible",5908,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Wairarapa","Total","eligible",570,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Waitemata","Total","eligible",8222,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
