"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible","1514","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Bay of Plenty","Total","eligible","809","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Canterbury","Total","eligible","1653","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Capital & Coast","Total","eligible","983","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Counties Manukau","Total","eligible","2290","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Hawkes Bay","Total","eligible","560","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Hutt Valley","Total","eligible","567","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Lakes","Total","eligible","433","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Midcentral","Total","eligible","640","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Nelson Marlborough","Total","eligible","461","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Northland","Total","eligible","676","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"South Canterbury","Total","eligible","182","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Southern","Total","eligible","906","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Tairawhiti","Total","eligible","193","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Taranaki","Total","eligible","408","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Waikato","Total","eligible","1447","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Wairarapa","Total","eligible","143","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Waitemata","Total","eligible","2048","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"West Coast","Total","eligible","113","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Whanganui","Total","eligible","222","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"National","Total","eligible","16248","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Auckland","Total","full","1269","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Bay of Plenty","Total","full","598","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Canterbury","Total","full","1446","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Capital & Coast","Total","full","888","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Counties Manukau","Total","full","1685","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Hawkes Bay","Total","full","520","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Hutt Valley","Total","full","499","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Lakes","Total","full","305","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
"Midcentral","Total","full","583","5 years","1 April 2015 to 30 June 2015 (Excel, 195 KB).xls","Ethnicity"
