"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible","1409","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","eligible","814","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Canterbury","Total","eligible","1577","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Capital and Coast","Total","eligible","925","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Counties Manukau","Total","eligible","2131","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","eligible","516","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hutt Valley","Total","eligible","516","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Lakes","Total","eligible","362","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"MidCentral","Total","eligible","528","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","eligible","409","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Northland","Total","eligible","586","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"South Canterbury","Total","eligible","167","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Southern","Total","eligible","919","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Tairawhiti","Total","eligible","187","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Taranaki","Total","eligible","398","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waikato","Total","eligible","1455","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Wairarapa","Total","eligible","122","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waitemata","Total","eligible","2024","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"West Coast","Total","eligible","89","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Whanganui","Total","eligible","196","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"National","Total","eligible","15330","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Auckland","Total","full","1193","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","full","638","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Canterbury","Total","full","1462","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Capital and Coast","Total","full","848","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Counties Manukau","Total","full","1924","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","full","480","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hutt Valley","Total","full","472","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Lakes","Total","full","297","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"MidCentral","Total","full","487","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","full","363","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Northland","Total","full","492","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"South Canterbury","Total","full","154","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Southern","Total","full","854","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Tairawhiti","Total","full","166","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Taranaki","Total","full","351","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waikato","Total","full","1231","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Wairarapa","Total","full","115","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waitemata","Total","full","1720","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"West Coast","Total","full","72","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Whanganui","Total","full","171","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"National","Total","full","13490","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Auckland","Total","proportion","0.846699787083038","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","proportion","0.783783783783784","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Canterbury","Total","proportion","0.92707672796449","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Capital and Coast","Total","proportion","0.916756756756757","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Counties Manukau","Total","proportion","0.902862505865791","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","proportion","0.930232558139535","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hutt Valley","Total","proportion","0.914728682170543","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Lakes","Total","proportion","0.820441988950276","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"MidCentral","Total","proportion","0.922348484848485","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","proportion","0.887530562347188","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Northland","Total","proportion","0.839590443686007","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
