"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible",5780,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","eligible",3406,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Canterbury","Total","eligible",6745,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Capital and Coast","Total","eligible",3596,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Counties Manukau","Total","eligible",8855,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","eligible",2278,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hutt Valley","Total","eligible",2108,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Lakes","Total","eligible",1615,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"MidCentral","Total","eligible",2300,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","eligible",1695,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Northland","Total","eligible",2542,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"South Canterbury","Total","eligible",685,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Southern","Total","eligible",3743,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Tairawhiti","Total","eligible",755,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Taranaki","Total","eligible",1784,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waikato","Total","eligible",5920,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Wairarapa","Total","eligible",577,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waitemata","Total","eligible",8729,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"West Coast","Total","eligible",353,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Whanganui","Total","eligible",903,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"National","Total","eligible",64369,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Auckland","Total","full",5124,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","full",2841,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Canterbury","Total","full",6233,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Capital and Coast","Total","full",3214,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Counties Manukau","Total","full",8019,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","full",2073,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hutt Valley","Total","full",1865,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Lakes","Total","full",1323,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"MidCentral","Total","full",2092,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","full",1461,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Northland","Total","full",2039,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"South Canterbury","Total","full",632,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Southern","Total","full",3467,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Tairawhiti","Total","full",670,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Taranaki","Total","full",1570,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waikato","Total","full",5085,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Wairarapa","Total","full",531,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waitemata","Total","full",7645,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"West Coast","Total","full",286,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
