"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible",1347,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","eligible",814,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Canterbury","Total","eligible",1707,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Capital and Coast","Total","eligible",937,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Counties Manukau","Total","eligible",2155,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hawkes Bay","Total","eligible",538,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hutt Valley","Total","eligible",485,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Lakes","Total","eligible",405,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"MidCentral","Total","eligible",604,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Nelson Marlborough","Total","eligible",422,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Northland","Total","eligible",627,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"South Canterbury","Total","eligible",181,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Southern","Total","eligible",934,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Tairawhiti","Total","eligible",180,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Taranaki","Total","eligible",402,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waikato","Total","eligible",1449,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Wairarapa","Total","eligible",143,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waitemata","Total","eligible",2018,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"West Coast","Total","eligible",86,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Whanganui","Total","eligible",218,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"National","Total","eligible",15652,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Auckland","Total","full",1229,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Bay of Plenty","Total","full",718,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Canterbury","Total","full",1602,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Capital and Coast","Total","full",850,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
