"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible","6687","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Bay of Plenty","Total","eligible","3009","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Canterbury","Total","eligible","6757","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Capital & Coast","Total","eligible","4131","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Counties Manukau","Total","eligible","8924","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hawkes Bay","Total","eligible","2439","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hutt Valley","Total","eligible","2264","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Lakes","Total","eligible","1759","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Midcentral","Total","eligible","2310","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Nelson Marlborough","Total","eligible","1750","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Northland","Total","eligible","2339","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Otago","Total","eligible","2116","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"South Canterbury","Total","eligible","648","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Southland","Total","eligible","1708","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Tairawhiti","Total","eligible","807","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Taranaki","Total","eligible","1698","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waikato","Total","eligible","5679","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Wairarapa","Total","eligible","558","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waitemata","Total","eligible","7732","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"West Coast","Total","eligible","459","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Whanganui","Total","eligible","949","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"National","Total","eligible","64757","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Auckland","Total","full","4889","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Bay of Plenty","Total","full","1615","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Canterbury","Total","full","5063","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Capital & Coast","Total","full","3121","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Counties Manukau","Total","full","5921","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hawkes Bay","Total","full","1607","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hutt Valley","Total","full","1651","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Lakes","Total","full","1062","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Midcentral","Total","full","1493","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Nelson Marlborough","Total","full","1276","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Northland","Total","full","1253","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Otago","Total","full","1628","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"South Canterbury","Total","full","486","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Southland","Total","full","1343","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Tairawhiti","Total","full","455","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Taranaki","Total","full","1098","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waikato","Total","full","3266","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Wairarapa","Total","full","412","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waitemata","Total","full","5343","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"West Coast","Total","full","332","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Whanganui","Total","full","613","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"National","Total","full","43934","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Auckland","Total","proportion","0.731120083744579","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Bay of Plenty","Total","proportion","0.536723163841808","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Canterbury","Total","proportion","0.749297025307089","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Capital & Coast","Total","proportion","0.755507141128056","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Counties Manukau","Total","proportion","0.66349170775437","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hawkes Bay","Total","proportion","0.658876588765888","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hutt Valley","Total","proportion","0.729240282685512","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Lakes","Total","proportion","0.603752131893121","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Midcentral","Total","proportion","0.646320346320346","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Nelson Marlborough","Total","proportion","0.729142857142857","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Northland","Total","proportion","0.535699016673792","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Otago","Total","proportion","0.76937618147448","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"South Canterbury","Total","proportion","0.75","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Southland","Total","proportion","0.786299765807963","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Tairawhiti","Total","proportion","0.563816604708798","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Taranaki","Total","proportion","0.646643109540636","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waikato","Total","proportion","0.575101250220109","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Wairarapa","Total","proportion","0.738351254480287","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waitemata","Total","proportion","0.691024314536989","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"West Coast","Total","proportion","0.723311546840959","6 Months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
